id_jogador,nome,email
1,Bella Barros,bellabarros@hotmail.com
2,Theo Duarte,theoduarte@gmail.com
3,Ana Carolina Cavalcanti,anacarolinacavalcanti@gmail.com
4,Sophie Jesus,sophiejesus@gmail.com
5,Sabrina Costa,sabrinacosta@gmail.com
6,Olivia Novaes,olivianovaes@hotmail.com
7,Sr. Diogo Pimenta,sr.diogopimenta@outlook.com
8,Dr. Gabriel Freitas,dr.gabrielfreitas@proton.me
9,Léo Macedo,léomacedo@hotmail.com
10,Sr. Fernando Cavalcanti,sr.fernandocavalcanti@gmail.com
11,Levi Casa Grande,levicasagrande@outlook.com
12,Vicente Abreu,vicenteabreu@hotmail.com
13,Sra. Maria Luiza Mendes,sra.marialuizamendes@gmail.com
14,Maria Isis Abreu,mariaisisabreu@hotmail.com
15,Ana Carolina Ribeiro,anacarolinaribeiro@gmail.com
16,Luísa Jesus,luísajesus@outlook.com
17,Daniela Casa Grande,danielacasagrande@gmail.com
18,Maria Liz Lima,marializlima@outlook.com
19,Augusto Rodrigues,augustorodrigues@outlook.com
20,Benjamin Macedo,benjaminmacedo@proton.me
21,Sr. André da Mata,sr.andrédamata@hotmail.com
22,Emanuel Cassiano,emanuelcassiano@hotmail.com
23,Maria Clara Peixoto,mariaclarapeixoto@gmail.com
24,Pedro Lucas Rodrigues,pedrolucasrodrigues@gmail.com
25,Luara Macedo,luaramacedo@hotmail.com
26,Dr. Benjamim Ribeiro,dr.benjamimribeiro@hotmail.com
27,Agatha Campos,agathacampos@bb.com.br
28,Rafaela Pastor,rafaelapastor@gmail.com
29,Aylla Câmara,ayllacâmara@outlook.com
30,Lunna Porto,lunnaporto@proton.me
31,Antony Pastor,antonypastor@outlook.com
32,Ana Júlia da Rocha,anajúliadarocha@hotmail.com
33,Enzo Gabriel Nunes,enzogabrielnunes@gmail.com
34,Dra. Brenda Carvalho,dra.brendacarvalho@proton.me
35,Isaac Pacheco,isaacpacheco@hotmail.com
36,Ana Lívia Gonçalves,analíviagonçalves@proton.me
37,Isaque Marques,isaquemarques@outlook.com
38,Manuela Moraes,manuelamoraes@gmail.com
39,Leandro Sá,leandrosá@proton.me
40,Helena Pimenta,helenapimenta@gmail.com
41,Maria Helena Duarte,mariahelenaduarte@gmail.com
42,Dra. Raquel Pacheco,dra.raquelpacheco@gmail.com
43,Raquel Fonseca,raquelfonseca@gmail.com
44,Cecília Campos,cecíliacampos@outlook.com
45,Ana Carolina Almeida,anacarolinaalmeida@outlook.com
46,Rael Rios,raelrios@outlook.com
47,Luiz Fernando Casa Grande,luizfernandocasagrande@outlook.com
